ebeam,lum,lum_err
1000,481.074,2.0627
987.5,524.025,2.12859
975,451.635,1.95093
962.5,592.186,2.20378
950,500.727,1.9983
945,523.94,2.03724
935,663.955,2.26818
925,437.616,1.81414
912.5,507.852,1.93561
900,447.642,1.78061
887.5,554.524,1.96587
875,539.777,1.90005
862.5,525.03,1.85863
850,493.612,1.76517
837.5,563.027,1.86591
825,458.628,1.65131
812.5,512.706,1.73003
800,447.666,1.5836
787.5,523.685,1.6921
775,513.828,1.63987
762.5,534.451,1.65541
750,551.439,1.64561
737.5,508.758,1.56391
725,442.141,1.42017
712.5,537.364,1.54901
700,526.766,1.5022
687.5,181.495,0.864197
675,557.922,1.49034
662.5,529.663,1.42708
650,457.815,1.29939
637.5,456.157,1.27547
625,407.739,1.17231
612.5,536.052,1.32791
600,557.208,1.30764
587.5,522.917,1.25934
575,493.903,1.19121
562.5,551.914,1.23713
550,491.865,1.13789
537.5,558.264,1.18824
525,491.077,1.04705
