elabel       emeas 
525_8997    523.580
550_9158    548.440
575_9288    575.310
600_9407    598.037
625_9475    622.470
650_9703    647.570
675_9773    671.800
700_9902    697.000
725_10052    721.700
750_10156    747.050
775_10271    771.600
800_10364    796.900
825_10428    821.522
850_10528    846.430
875_10606    870.820
900_10715    896.448
925_10796    924.316
950_10902    950.663
962.5_10992    963.521
975_11110    976.318
987.5_11220    989.221
1000_11333    1002.310
945_11608    946.700
935_11756    935.586
912.5_11837    913.212
887.5_11870    886.856
862.5_11905    861.556
837.5_11940    834.719
812.5_11988    811.460
787.5_12035    785.932
712.5_12116    711.530
737.5_12215    735.731
762.5_12338    761.180
687.5_12442    686.750
662.5_12532    661.680
637.5_12693    636.390
612.5_12811    611.710
587.5_12894    587.050
562.5_12974    562.134
537.5_13082    537.410
