E,rad,cs,cs_err
1004.066,0.72,6.87,0.42
1010.466,0.73,42.16,0.47
1012.955,0.72,96.74,1.0
1015.068,0.71,219.53,5.02
1016.105,0.71,366.33,3.33
1017.155,0.7,628.15,2.95
1017.156,0.7,624.76,9.89
1018.046,0.7,996.62,4.28
1019.118,0.72,1413.65,6.02
1019.214,0.72,1433.05,15.03
1019.421,0.73,1434.84,18.4
1019.902,0.75,1341.91,4.74
1021.222,0.83,833.2,4.89
1021.309,0.83,807.54,10.36
1022.078,0.88,582.93,4.03
1022.744,0.93,443.71,4.38
1023.264,0.96,377.77,5.31
1025.32,1.08,199.26,4.97
1027.956,1.21,115.93,1.7
1029.09,1.26,96.96,3.0
1033.907,1.43,50.12,1.26
1040.028,1.6,31.27,1.01
1049.864,1.78,16.93,0.5
1050.862,1.79,17.47,0.94
1059.947,1.91,12.09,0.71
