elabel       emeas 
508.7_13218  508.7
509.8_13260  509.8
510.5_13314  510.5
510.8_13164  510.8
525_8997     525.0
550_9158     550.0
575_9288     575.0
600_9407     600.0
625_9475     625.0
650_9703     650.0
675_9773     675.0
700_9902     700.0
725_10052    725.0
750_10156    750.0
775_10271    775.0
800_10364    800.0
825_10428    825.0
850_10528    850.0
875_10606    875.0
900_10715    900.0
925_10796    925.0
950_10902    950.0
962.5_10992  962.5
975_11110    975.0
987.5_11220  987.5
1000_11333   1000.0
945_11608    945.0
935_11756    935.0
912.5_11837  912.5
887.5_11870  887.5
862.5_11905  862.5
837.5_11940  837.5
812.5_11988  812.5
787.5_12035  787.5
712.5_12116  712.5
737.5_12215  737.5
762.5_12338  762.5
687.5_12442  687.5
662.5_12532  662.5
637.5_12693  637.5
612.5_12811  612.5
587.5_12894  587.5
562.5_12974  562.5
537.5_13082  537.5
