elabel      emeas     
550_70260   549.341187 
537.5_70914 537.454102 
562.5_71178 562.497620 
575_71544   574.855896 
587.5_71908 587.726379 
600_72268   599.889893 
612.5_72545 612.571533 
625_72787   624.611816 
637.5_73035 637.046021 
650_73374   649.955627 
662.5_73636 662.285095 
675_73926   674.790527 
687.5_74169 687.114319 
700_74366   699.864807 
712.5_74528 712.591675 
725_74704   725.495300 
737.5_74974 737.357178 
750_75459   750.016785 
762_75730   762.798401 
775_76033   774.986877 
787.5_76243 787.419922 
800_76450   799.845093 
812.5_76723 812.623779 
825_77131   824.412415 
837.5_77414 824.412415 
850_77631   850.212402 
862.5_77854 861.515808 
875_78066   874.873474 
887.5_78274 887.522095 
900_78506   900.513306 
912.5_78722 913.378113 
925_78931   925.594177 
936_79212   936.239075 
950_79625   950.147522 
962.5_80068 962.822327 
978_80506   978.000000 
975_80603   972.880676 
987.5_81313 987.804626 
955_81775   956.046875 
951.1_82106 951.040894 
945_82528   944.831604 
641_82925   640.924316 
612.5_84504 612.571533 
